ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
53946,DIF,NM,United States,53946,STATE,0,6394,Wisconsin,01/20/1910,2023,State Agency,11,55,100.0,9,13641,United States,"FS BANCSHARES, INC.",0,,179224,179224,,Markesan,ONE,CB,EXACT,M,STATE,1,0,0,86 E Water St,0,70255,1249691,47,10004,43.706249996883,WI,2,CALL,0,Chicago,599643,Ergo Bank,0,,Green Lake,AGRICULTURAL,,,,0,0,1,WI,1,Wisconsin,7,FDIC,Chicago,221162,,0,86 E Water St,-88.9863210027042,,MARKESAN,55047,,Markesan,21,55047,,,Ergo Bank,Markesan,WI,2023_10004_0
53946,DIF,NM,United States,53933,STATE,0,6890,Wisconsin,03/02/1891,2023,State Agency,11,55,US_Streets,9,13641,United States,"FS BANCSHARES, INC.",0,,0,179224,,Fox Lake,ONE,CB,M,,STATE,0,0,0,86 E Water St,376,50231,1249691,27,10004,43.566038,WI,2,CALL,0,Chicago,599643,314 West State Street Branch,0,,Dodge,AGRICULTURAL,,,09/28/1991,1,1,1,WI,1,Wisconsin,7,FDIC,Chicago,221162,,0,314 West State Street,-88.909526,,MARKESAN,55047,"Milwaukee-Racine-Waukesha, WI",Markesan,21,55027,,,Ergo Bank,Fox Lake,WI,2023_10004_1
53946,DIF,NM,United States,54648,STATE,0,9502,Wisconsin,03/25/1933,2023,State Agency,11,55,100.0,9,13641,United States,"FS BANCSHARES, INC.",0,,0,179224,,Norwalk,ONE,CB,EXACT,,STATE,0,0,0,86 E Water St,317,12157,1249691,81,10004,43.8322380063274,WI,2,CALL,0,Chicago,599643,Norwalk Branch,0,,Monroe,AGRICULTURAL,,,03/22/2023,1,2,1,WI,1,Wisconsin,7,FDIC,Chicago,221162,,0,108 Main St,-90.6222599607996,,MARKESAN,55047,"La Crosse-Onalaska-Sparta, WI-MN",Markesan,21,55081,,,Ergo Bank,Norwalk,WI,2023_10004_2
53946,DIF,NM,United States,54670,STATE,0,441046,Wisconsin,01/01/2005,2023,State Agency,11,55,US_Streets,9,13641,United States,"FS BANCSHARES, INC.",0,,0,179224,,Wilton,ONE,CB,M,,STATE,0,0,0,86 E Water St,317,21584,1249691,81,10004,43.814413,WI,2,CALL,0,Chicago,599643,Wilton Branch,0,,Monroe,AGRICULTURAL,,,03/22/2023,1,3,1,WI,1,Wisconsin,7,FDIC,Chicago,221162,,0,406 Main Street,-90.528106,,MARKESAN,55047,"La Crosse-Onalaska-Sparta, WI-MN",Markesan,21,55081,,,Ergo Bank,Wilton,WI,2023_10004_3
53946,DIF,NM,United States,54638,STATE,0,7860,Wisconsin,03/22/2023,2023,State Agency,11,55,100.0,9,13641,United States,"FS BANCSHARES, INC.",0,,0,179224,,Kendall,ONE,CB,EXACT,,STATE,0,,0,86 E Water St,317,24997,1249691,81,10004,43.7922609801368,WI,2,CALL,0,Chicago,599643,Kendall Branch,0,,Monroe,AGRICULTURAL,,,03/22/2023,1,4,1,WI,1,Wisconsin,7,FDIC,Chicago,221162,,0,102 E South Railroad St,-90.3684499814959,,MARKESAN,55047,"La Crosse-Onalaska-Sparta, WI-MN",Markesan,21,55081,,,Ergo Bank,Kendall,WI,2023_10004_4
53566,DIF,NM,United States,53566,STATE,31540,6400,Wisconsin,01/01/1915,2023,State Agency,11,55,100.0,9,0,United States,"WOODFORD BANCSHARES, INC.",0,,318154,318154,,Monroe,ONE,CB,EXACT,"M,E",STATE,1,,0,403 W 8th St,357,200528,2961347,45,10011,42.6040529890936,WI,4,CALL,0,Chicago,93244,Woodford State Bank,1,,Green,COMMERCIAL LENDING,,,,0,0,1,WI,1,Wisconsin,7,FDIC,Chicago,412304,,0,403 W 8th St,-89.6620579667678,,MONROE,55045,"Madison-Janesville-Beloit, WI",Monroe,21,55045,,"Madison, WI",Woodford State Bank,Monroe,WI,2023_10011_0
53566,DIF,NM,United States,53504,STATE,0,221691,Wisconsin,08/06/1999,2023,State Agency,11,55,US_Streets,9,0,United States,"WOODFORD BANCSHARES, INC.",0,,0,318154,,Argyle,ONE,CB,M,E,STATE,0,,0,403 W 8th St,0,27724,2961347,65,10011,42.70099,WI,4,CALL,0,Chicago,93244,Argyle Branch,0,,Lafayette,COMMERCIAL LENDING,,,,0,2,1,WI,1,Wisconsin,7,FDIC,Chicago,412304,,0,101 Spruce Street,-89.8756,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,Argyle,WI,2023_10011_2
53566,DIF,NM,United States,53587,STATE,0,362475,Wisconsin,10/15/2001,2023,State Agency,11,55,US_Zipcode,9,0,United States,"WOODFORD BANCSHARES, INC.",0,,0,318154,,South Wayne,ONE,CB,M,E,STATE,0,,0,403 W 8th St,0,26030,2961347,65,10011,42.577433,WI,4,CALL,0,Chicago,93244,South Wayne Branch,0,,Lafayette,COMMERCIAL LENDING,,,,0,4,1,WI,1,Wisconsin,7,FDIC,Chicago,412304,,0,212 West High 11,-89.902103,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,South Wayne,WI,2023_10011_4
53566,DIF,NM,United States,53516,STATE,0,7441,Wisconsin,01/01/1917,2023,State Agency,11,55,100.0,9,0,United States,"WOODFORD BANCSHARES, INC.",0,,0,318154,,Blanchardville,ONE,CB,EXACT,E,STATE,0,,0,403 W 8th St,0,19374,2961347,65,10011,42.8096800170884,WI,4,CALL,0,Chicago,93244,Blanchardville Branch,0,,Lafayette,COMMERCIAL LENDING,,,10/01/2007,0,5,1,WI,1,Wisconsin,7,FDIC,Chicago,412304,,0,319 S Main St,-89.8627229919018,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,Blanchardville,WI,2023_10011_5
53566,DIF,NM,United States,53574,STATE,31540,632210,Wisconsin,03/15/2021,2023,State Agency,11,55,100.0,9,0,United States,"WOODFORD BANCSHARES, INC.",0,,0,318154,,New Glarus,ONE,CB,EXACT,E,STATE,0,,0,403 W 8th St,357,9000,2961347,45,10011,42.8133600078585,WI,4,CALL,0,Chicago,93244,New Glarus Branch,1,,Green,COMMERCIAL LENDING,,,,0,6,1,WI,1,Wisconsin,7,FDIC,Chicago,412304,,0,618 State Road 69,-89.6308880157913,,MONROE,55045,"Madison-Janesville-Beloit, WI",Monroe,21,55045,,"Madison, WI",Woodford State Bank,New Glarus,WI,2023_10011_6
