ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
53946,DIF,NM,United States,53946,STATE,0,6394,Wisconsin,1/20/1910,2019,State Agency,11,55,M,9,13641,United States,"FS BANCSHARES, INC.",0,3,77254,77254,,Markesan,ONE,CB,US_Streets,M,STATE,1,0,0,86 East Water Street,0,46823,1249691,47,10004,43.706476,WI,4,CALL,0,Chicago,599643,Ergo Bank,0,,Green Lake,COMMERCIAL LENDING,Central District,0,,0,0,,WI,1,Wisconsin,7,FDIC,Chicago,89100,,0,86 East Water Street,-88.986177,,MARKESAN,55047,,Markesan,21,55047,,,Ergo Bank,Markesan,WI,2019_10004_0
53946,DIF,NM,United States,53933,STATE,0,6890,Wisconsin,03/02/1891,2019,State Agency,11,55,M,9,13641,United States,"FS BANCSHARES, INC.",0,3,0,77254,,Fox Lake,ONE,CB,US_Streets,,STATE,0,0,0,86 East Water Street,376,30431,1249691,27,10004,43.566038,WI,4,CALL,0,Chicago,599643,314 West State Street Branch,0,,Dodge,COMMERCIAL LENDING,Central District,0,9/28/1991,1,1,,WI,1,Wisconsin,7,FDIC,Chicago,89100,,0,314 West State Street,-88.909526,,MARKESAN,55047,"Milwaukee-Racine-Waukesha, WI",Markesan,21,55027,,,Ergo Bank,Fox Lake,WI,2019_10004_1
53012,DIF,NM,United States,53012,STATE,33340,6397,Wisconsin,03/01/1894,2019,State Agency,11,55,POSTAL,9,12896,United States,"PARTNERSHIP COMMUNITY BANCSHARES, INC.",0,3,269581,269581,,Cedarburg,ONE,CB,100,M,STATE,1,,0,W61 N529 Washington Avenue,376,120302,3552724,89,10007,43.297322,WI,4,CALL,0,Chicago,284248,Partnership Bank,1,,Ozaukee,COMMERCIAL LENDING,Central District,0,,0,0,,WI,1,Wisconsin,7,FDIC,Chicago,310272,,0,W61 N529 Washington Avenue,-88.004427,,CEDARBURG,55089,"Milwaukee-Racine-Waukesha, WI",Cedarburg,21,55089,,"Milwaukee-Waukesha, WI",Partnership Bank,Cedarburg,WI,2019_10007_0
53012,DIF,NM,United States,54660,STATE,0,221684,Wisconsin,7/22/1996,2019,State Agency,23,55,M,9,12896,United States,"PARTNERSHIP COMMUNITY BANCSHARES, INC.",0,3,0,269581,,Tomah,ONE,CB,US_STREETS,N,STATE,0,,0,W61 N529 Washington Avenue,0,0,3552724,81,10007,43.976806,WI,4,CALL,0,Chicago,284248,Monowau Street,0,,Monroe,COMMERCIAL LENDING,Central District,0,,0,1,,WI,1,Wisconsin,7,FDIC,Chicago,310272,,0,120 West Monowau Street,-90.505062,,CEDARBURG,55089,,Cedarburg,21,55081,,,Partnership Bank,Tomah,WI,2019_10007_1
53012,DIF,NM,United States,53092,STATE,33340,559920,Wisconsin,9/15/2014,2019,State Agency,11,55,STREETADDRESS,9,12896,United States,"PARTNERSHIP COMMUNITY BANCSHARES, INC.",0,3,0,269581,,Mequon,ONE,CB,100,,STATE,0,,0,W61 N529 Washington Avenue,376,28609,3552724,89,10007,43.231585,WI,4,CALL,0,Chicago,284248,Mequon Wi Branch,1,,Ozaukee,COMMERCIAL LENDING,Central District,0,,0,11,,WI,1,Wisconsin,7,FDIC,Chicago,310272,,0,11740 North Port Washington Road,-87.924021,,CEDARBURG,55089,"Milwaukee-Racine-Waukesha, WI",Cedarburg,21,55089,,"Milwaukee-Waukesha, WI",Partnership Bank,Mequon,WI,2019_10007_11
53012,DIF,NM,United States,53094,STATE,0,7833,Wisconsin,1/10/1913,2019,State Agency,11,55,M,9,12896,United States,"PARTNERSHIP COMMUNITY BANCSHARES, INC.",0,3,0,269581,,Watertown,ONE,CB,US_STREETS,,STATE,0,,0,W61 N529 Washington Avenue,376,48529,3552724,55,10007,43.194465,WI,4,CALL,0,Chicago,284248,Watertown Branch,0,,Jefferson,COMMERCIAL LENDING,Central District,0,3/23/2015,1,12,,WI,1,Wisconsin,7,FDIC,Chicago,310272,,0,104 West Main Street,-88.72535,,CEDARBURG,55089,"Milwaukee-Racine-Waukesha, WI",Cedarburg,21,55055,,,Partnership Bank,Watertown,WI,2019_10007_12
53012,DIF,NM,United States,54660,STATE,0,572190,Wisconsin,5/4/2015,2019,State Agency,11,55,POINTADDRESS,9,12896,United States,"PARTNERSHIP COMMUNITY BANCSHARES, INC.",0,3,0,269581,,Tomah,ONE,CB,100,,STATE,0,,0,W61 N529 Washington Avenue,0,72141,3552724,81,10007,43.97699,WI,4,CALL,0,Chicago,284248,Tomah Branch,0,,Monroe,COMMERCIAL LENDING,Central District,0,,0,13,,WI,1,Wisconsin,7,FDIC,Chicago,310272,,0,1021 Superior Avenue,-90.504758,,CEDARBURG,55089,,Cedarburg,21,55081,,,Partnership Bank,Tomah,WI,2019_10007_13
53566,DIF,NM,United States,53566,STATE,31540,6400,Wisconsin,1/1/1915,2019,State Agency,11,55,STREETADDRESS,9,0,United States,"WOODFORD BANCSHARES, INC.",0,3,188286,188286,,Monroe,ONE,CB,100,"M,E",STATE,1,,0,403 West 8th Street,357,137254,2961347,45,10011,42.603581,WI,4,CALL,0,Chicago,93244,Woodford State Bank,1,,Green,COMMERCIAL LENDING,Central District,0,,0,0,,WI,1,Wisconsin,7,FDIC,Chicago,239160,,0,403 West 8th Street,-89.662267,,MONROE,55045,"Madison-Janesville-Beloit, WI",Monroe,21,55045,,"Madison, WI",Woodford State Bank,Monroe,WI,2019_10011_0
53566,DIF,NM,United States,53504,STATE,0,221691,Wisconsin,8/6/1999,2019,State Agency,11,55,M,9,0,United States,"WOODFORD BANCSHARES, INC.",0,3,0,188286,,Argyle,ONE,CB,US_Streets,E,STATE,0,,0,403 West 8th Street,0,19980,2961347,65,10011,42.70099,WI,4,CALL,0,Chicago,93244,Argyle Branch,0,,Lafayette,COMMERCIAL LENDING,Central District,0,,0,2,,WI,1,Wisconsin,7,FDIC,Chicago,239160,,0,101 Spruce Street,-89.8756,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,Argyle,WI,2019_10011_2
53566,DIF,NM,United States,53587,STATE,0,362475,Wisconsin,10/15/2001,2019,State Agency,11,55,M,9,0,United States,"WOODFORD BANCSHARES, INC.",0,3,0,188286,,South Wayne,ONE,CB,US_Zipcode,E,STATE,0,,0,403 West 8th Street,0,17982,2961347,65,10011,42.577433,WI,4,CALL,0,Chicago,93244,South Wayne Branch,0,,Lafayette,COMMERCIAL LENDING,Central District,0,,0,4,,WI,1,Wisconsin,7,FDIC,Chicago,239160,,0,212 West High 11,-89.902103,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,South Wayne,WI,2019_10011_4
